Sample Data,2022 07 02 09_51
AIM Version,11.0.1
Classifier Model,3082,Classifier S/N,3082001809001,Classifier Firmware Version,2.3
Neutralizer Model,3088,Neutralizer S/N,
Impactor (cm),None,Impactor S/N,
DMA Model,3081,DMA S/N,
DMA Inner Radius (cm),0.9369999999999999
DMA Outer Radius (cm),1.9609999999999999
DMA Characteristic Length (cm),44.369
Detector Model,3750,Detector S/N,3750180803,Nano Enhancer,NONE
Detector Sample Flow (L/min),1,Detector Inlet Flow (L/min),1
Reference Gas Viscosity (Pa*s),1.832450e-5
Reference Mean Free Path (m),6.730000e-8
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),38.40
Tube Diameter (cm),0.48
Channels/Decade,128
Multiple Charge Correction,true
Nanoparticle Agglomerate Mobility Analysis,FALSE
DiffusionCorrection,true
Units,dW/dlogDp
Weight,Number
53,07/02/2022,10:07:58,23.0,100.9,61.6,6.75668e-8,1.83245e-5,,4766.366,4234.066,3766.679,4966.540,2552.434,4105.010,3824.173,3858.031,3153.120,4678.305,2814.145,2065.117,2687.587,4353.495,3777.780,2934.937,3622.688,2586.166,2354.025,2596.620,1797.793,1213.148,2575.721,2049.498,1861.221,2512.161,1398.476,2190.743,1240.931,933.657,2085.126,1021.265,839.881,1611.316,2064.218,299.331,921.815,2757.089,1693.150,1293.105,1174.548,1045.895,1234.071,737.399,936.976,1093.343,1101.727,1384.559,1383.013,1843.634,1542.688,2433.588,1381.132,1602.810,1151.096,1237.349,1796.594,1376.590,713.995,1180.422,1611.217,965.582,1582.978,1817.681,1721.969,1492.738,1500.755,907.742,1230.625,1127.474,978.451,1224.049,907.798,1090.746,1623.714,997.180,876.183,2356.307,1068.736,1404.206,971.763,559.981,492.438,1046.788,1056.876,1541.548,550.570,734.216,834.548,876.778,1913.335,905.228,997.280,1777.486,596.005,1325.834,1158.474,1150.813,1224.951,948.770,1043.715,1433.508,1088.976,1172.590,1159.025,1352.473,752.856,1347.731,861.895,1055.122,788.327,1570.444,1445.049,368.359,724.431,1240.703,1687.642,1274.661,1402.271,972.439,520.429,1047.734,1467.631,1401.576,1112.422,1203.906,1193.417,681.700,345.185,268.047,746.218,488.857,496.826,793.495,1288.181,784.420,453.000,589.643,578.461,1136.637,712.993,464.782,710.842,647.491,764.453,1066.580,1341.217,125.900,213.299,164.210,0.000,0.000,0.000,812.608,594.870,977.941,1032.698,340.494,0.000,217.833,47.995,13.540,565.019,431.564,526.000,308.818,0.000,206.208,0.000,0.000,0.000,62.897,400.542,0.000,388.075,391.325,789.220,696.416,711.091,647.395,767.184,926.611,415.414,314.309,366.501,526.608,709.148,602.738,1148.892,657.536,736.229,758.381,754.605,114.482,0.000,466.208,117.603,593.323,239.461,511.440,459.090,1967.930,1116.826,75,4,50,1,Negative,2.000,0.300,0.00,10.06,9901.13,20.5,791.5,1.0,1.81,10.79,1000.0,55.775,123.938,69.340,21.870,2.743,1.91830e+3,ON,1,TRACER-CAT,,2022 07 02 09_51,,Detector aerosol flow rate error;Incomplete Scan
54,07/02/2022,10:09:28,22.8,100.9,61.7,6.75088e-8,1.83150e-5,,4466.313,4456.428,3545.653,2723.949,3696.921,2632.906,3479.258,2640.861,2914.181,2240.355,1818.616,1349.451,3120.934,3053.281,1021.083,2031.945,1919.534,2309.771,3335.633,868.938,3223.673,1883.208,1900.670,1465.099,1281.578,2043.706,688.108,2284.020,1628.089,1546.854,1004.297,1572.107,1524.253,1086.455,1313.694,1612.862,1448.883,1245.090,1063.984,1607.961,2423.055,1918.831,1066.454,1934.031,1105.565,1615.763,2259.634,1647.860,1244.503,1406.570,1547.976,1284.294,2007.828,1453.426,1504.534,2013.459,1233.630,1599.430,1265.273,1351.005,1410.088,1952.116,679.877,1234.702,784.620,1678.480,2019.425,2035.934,1013.825,3155.351,1726.862,2167.319,2497.975,1930.865,979.673,1171.310,1041.768,1524.711,2560.836,1107.353,1394.857,1046.347,1109.159,432.902,795.862,750.610,1445.306,317.171,1119.285,1655.068,2526.386,395.329,1219.408,564.740,1999.154,1223.750,1941.566,1859.728,1841.234,1447.581,1122.627,1418.290,1461.025,1297.765,1152.825,899.927,1534.572,1507.213,1404.243,702.551,1631.323,2010.856,1466.764,1154.098,1677.015,1152.251,819.903,1282.378,1355.606,639.318,1024.609,1322.151,896.524,1428.012,936.026,1001.599,1665.405,343.747,518.612,553.598,418.388,389.513,244.170,241.935,0.000,958.476,993.896,974.875,633.598,387.608,276.756,754.412,871.102,630.183,478.181,416.787,416.389,74.412,0.000,0.000,0.000,0.000,0.000,186.108,176.211,431.309,346.781,1223.367,440.607,91.196,382.257,1447.212,1300.804,342.796,0.000,185.280,0.000,0.000,0.000,87.458,0.000,54.351,32.707,544.280,493.341,774.179,953.539,1405.574,932.542,901.514,408.236,457.414,627.655,315.165,419.879,419.909,742.668,942.525,437.879,331.372,624.737,606.511,113.451,457.876,808.481,1634.105,938.147,593.260,1283.644,1845.466,731.321,491.905,744.452,75,4,50,1,Negative,2.000,0.300,0.00,10.06,9901.13,20.5,791.5,1.0,1.81,10.79,1000.0,66.818,133.768,76.139,20.721,2.715,1.93706e+3,ON,1,TRACER-CAT,,2022 07 02 09_51,,Detector aerosol flow rate error;Incomplete Scan
55,07/02/2022,10:10:59,22.6,100.9,61.8,6.74508e-8,1.83054e-5,,6321.965,6981.258,7636.386,11831.054,8138.429,7157.236,6929.944,3230.246,5668.392,5985.116,9911.370,7709.459,5752.078,4142.982,4190.204,4724.885,5377.405,6459.811,5313.267,5052.529,4022.505,3896.209,3838.886,4238.614,3021.462,3179.141,1574.353,2722.837,2643.953,2790.409,1766.494,2177.894,1342.678,1728.602,1684.276,2050.568,1003.277,1062.234,1205.487,2194.857,939.155,1103.759,1776.563,1214.133,736.301,1772.497,852.959,482.241,940.725,926.177,1457.943,867.028,1029.582,1072.260,1082.952,1229.558,1063.253,938.882,1413.749,1676.544,1309.190,584.633,521.281,586.812,479.960,611.330,1400.680,1214.918,1405.303,316.527,849.438,785.783,1227.228,556.231,849.651,1103.240,692.774,179.066,930.062,437.204,199.935,864.141,963.930,992.523,1190.342,433.502,1012.842,614.672,323.788,913.401,551.151,966.584,1183.329,1342.322,1038.106,1762.835,1057.445,636.096,1110.109,755.412,1386.185,1925.986,1737.415,1602.092,1023.542,1032.253,978.618,1777.797,1478.945,886.298,1424.254,1258.428,1215.415,1378.017,982.570,836.085,489.853,1046.766,711.455,479.192,1003.263,643.857,575.667,1246.279,973.324,880.884,1635.507,1088.047,1021.242,479.884,1431.213,814.011,1037.190,511.185,824.410,654.942,992.593,207.754,377.697,283.460,208.984,217.857,117.323,322.326,662.690,672.051,0.000,149.614,815.278,164.875,0.000,0.000,298.596,82.271,0.000,597.089,675.889,276.163,495.929,601.645,366.493,343.337,326.162,0.000,0.000,605.315,23.788,618.244,0.000,0.000,0.000,469.986,675.853,384.791,193.991,489.036,295.887,388.142,812.343,379.099,508.705,588.186,265.174,156.927,686.958,319.765,639.384,697.398,947.036,880.721,557.125,674.576,340.313,572.289,923.888,932.215,470.303,593.208,837.918,966.242,453.062,895.439,496.237,75,4,50,1,Negative,2.000,0.300,0.00,10.06,9901.13,20.5,791.5,1.0,1.81,10.79,1000.0,32.712,100.620,53.301,21.870,2.700,2.34888e+3,ON,1,TRACER-CAT,,2022 07 02 09_51,,Detector aerosol flow rate error;Incomplete Scan
56,07/02/2022,10:12:29,22.4,100.9,61.6,6.73928e-8,1.82958e-5,,5480.724,5131.600,6305.802,4119.080,4909.734,9183.970,6630.897,4954.468,2277.108,3194.808,5044.701,7127.623,3908.622,3361.751,3485.347,1377.598,1537.564,3331.016,2875.120,2874.253,3300.657,3967.390,1000.003,1062.901,2798.936,1350.754,3771.792,3770.020,3203.478,3009.762,1238.732,2137.888,3458.243,5354.708,4554.091,2298.748,2427.263,2259.667,1990.726,1582.878,1221.092,2867.239,2197.303,5393.026,2398.589,1637.902,1369.517,902.614,1308.892,1603.255,1328.618,1323.226,1301.348,1601.445,1866.568,1049.316,1456.997,1418.794,1775.585,2347.952,2823.711,2357.905,1679.062,1936.703,1187.611,977.107,1511.563,1481.245,1551.931,706.753,1206.846,1008.295,1135.135,1307.746,1393.675,1980.251,1606.489,2009.330,1016.992,1398.441,720.884,1083.252,356.983,766.111,1324.656,888.650,893.405,724.923,855.730,422.349,645.324,1488.295,1169.689,1125.863,1030.976,1109.220,543.224,1249.656,885.449,1439.804,917.362,1498.397,369.464,1393.627,718.063,929.307,1131.150,845.772,1349.771,572.802,588.052,580.542,898.184,990.218,687.844,968.535,426.506,703.816,1215.077,526.411,995.488,833.067,760.565,500.743,129.999,530.637,493.759,409.344,0.000,127.295,467.322,144.024,224.814,139.065,362.223,633.694,561.929,920.564,602.802,986.059,1027.529,205.496,471.777,247.212,445.360,288.563,390.544,84.655,0.000,482.725,198.841,0.000,362.416,387.131,118.009,493.333,358.579,151.069,107.531,322.619,462.258,321.505,0.000,121.871,51.413,0.000,133.478,408.929,401.106,515.197,223.615,308.476,95.402,288.573,290.953,97.796,295.852,298.355,200.604,303.490,204.070,308.763,311.450,0.000,316.929,106.577,215.055,345.801,201.215,328.394,222.821,224.829,340.273,572.205,461.879,699.066,777.850,638.625,119.689,362.292,487.401,390.433,673.806,75,4,50,1,Negative,2.000,0.300,0.00,10.06,9901.13,20.5,791.5,1.0,1.81,10.79,1000.0,40.244,88.574,53.190,22.671,2.398,2.13615e+3,ON,1,TRACER-CAT,,2022 07 02 09_51,,Detector aerosol flow rate error;Incomplete Scan
57,07/02/2022,10:14:00,22.2,101.0,61.3,6.72681e-8,1.82863e-5,,11367.758,7833.488,5429.714,7455.417,7150.221,9408.319,6946.355,5170.303,5004.375,2740.020,4465.324,4319.458,3578.337,3077.139,4135.149,2790.579,3558.429,4461.003,3012.368,1270.933,2236.885,2582.798,3273.985,1208.982,1811.358,1263.651,1368.258,1501.277,2100.510,1658.671,2246.096,773.152,1105.969,1319.637,3000.272,3077.032,3265.758,2658.485,2276.083,1214.235,1170.291,1158.644,1300.484,1797.604,2273.436,1498.799,1080.678,1142.354,1582.795,1508.981,1625.308,1878.155,2040.801,1392.216,528.640,705.248,741.126,1357.378,1757.008,1319.345,1773.454,618.853,1407.437,1438.892,1391.899,1146.168,1103.238,1762.362,1533.783,1736.576,1201.477,489.199,858.343,1483.397,933.927,521.226,874.495,1270.122,1151.709,855.301,599.177,1312.267,1374.230,384.442,1263.463,1186.443,758.745,899.070,1628.918,1942.874,713.938,1315.736,513.085,1025.937,1292.600,1007.012,1520.083,710.494,1252.246,983.879,1014.739,987.122,989.106,1413.297,1267.210,1215.135,1598.975,1243.246,1142.393,1233.185,660.249,723.735,1024.127,818.522,1141.265,1780.813,1297.216,399.283,767.800,632.779,1124.040,1408.705,1067.660,1150.891,864.479,1396.000,961.506,176.965,466.757,395.203,779.540,1231.070,852.162,561.573,1262.256,855.605,811.436,646.594,482.481,544.368,0.000,79.128,369.124,500.673,735.948,944.953,589.938,402.563,56.533,471.406,0.000,111.425,79.938,0.000,322.547,635.821,742.599,263.237,204.331,0.000,249.055,345.320,412.323,0.000,0.000,75.927,138.165,118.709,404.529,471.725,424.839,550.460,577.984,480.804,0.000,293.310,98.592,389.345,1011.230,101.139,510.046,720.280,778.144,314.872,369.198,319.652,214.996,542.270,109.412,331.200,222.770,224.778,800.939,793.662,1500.823,1050.855,702.672,711.573,1316.299,659.895,917.826,245.828,620.090,75,4,50,1,Negative,2.000,0.300,0.00,10.06,9901.13,20.5,791.5,1.0,1.81,10.79,1000.0,41.002,106.631,57.985,20.721,2.701,2.19715e+3,ON,1,TRACER-CAT,,2022 07 02 09_51,,Detector aerosol flow rate error;Incomplete Scan
58,07/02/2022,10:15:30,22.2,100.9,61.0,6.73348e-8,1.82863e-5,,5377.227,5109.595,6028.169,4991.171,5092.165,2806.919,5051.094,4235.906,4323.613,3876.377,2886.698,3831.577,1988.925,3916.338,2278.712,1801.394,1170.233,2329.305,2354.874,1197.054,2056.233,2394.806,1865.839,2275.052,2333.646,3033.950,2222.265,1094.771,1602.434,2030.082,1642.114,1832.654,1444.610,1231.004,2296.590,2252.493,1344.580,1298.490,1462.987,2010.215,3000.716,2235.805,1570.040,1646.059,1408.890,1740.925,1903.090,1893.778,1199.358,1764.148,488.709,1713.984,1280.185,1445.762,1367.127,1022.282,1713.267,1627.908,678.888,1058.681,1170.106,1958.868,1434.426,989.902,888.218,610.102,885.291,2045.312,868.608,1013.727,1375.188,1149.063,1256.581,1096.069,732.062,1427.977,1271.620,1600.485,2590.342,1689.703,957.953,1639.460,469.669,792.131,1238.626,1170.147,992.306,1264.536,1022.144,1036.832,2338.810,1128.335,1551.379,835.963,1363.721,1122.963,584.551,1406.002,1167.850,2000.352,803.596,1362.541,1106.319,1015.921,949.631,1148.494,682.602,371.691,808.594,1016.482,0.000,60.274,856.710,811.000,939.970,629.389,1055.164,1100.875,841.363,1491.220,1345.704,605.860,530.776,429.191,1886.403,631.575,1178.724,437.191,1247.927,746.660,626.117,756.335,1449.568,1199.380,1110.659,2690.191,2400.714,1452.097,1211.499,664.343,501.398,934.815,512.635,144.302,798.376,329.815,765.141,987.604,409.779,91.786,164.853,0.000,124.723,432.298,616.775,369.036,587.362,793.328,407.204,0.000,168.121,0.000,0.000,0.000,253.226,288.189,453.140,214.382,0.000,151.721,0.000,142.473,674.261,264.838,120.855,138.057,255.202,298.324,601.756,733.961,484.012,710.353,529.112,104.717,422.529,426.259,464.202,399.429,656.589,754.462,1534.481,831.008,1020.715,657.441,722.185,116.497,235.097,496.135,337.135,966.010,487.356,614.666,744.185,75,4,50,1,Negative,2.000,0.300,0.00,10.06,9901.13,20.5,791.5,1.0,1.81,10.79,1000.0,51.921,118.267,66.837,21.480,2.705,2.00286e+3,ON,1,TRACER-CAT,,2022 07 02 09_51,,Detector aerosol flow rate error;Incomplete Scan
59,07/02/2022,10:17:01,22.2,100.9,60.8,6.73348e-8,1.82863e-5,,6035.117,8646.789,5461.160,4404.840,4247.454,4509.434,4236.820,7149.128,5526.236,4306.780,3362.167,3186.231,3097.475,3491.126,3150.082,5127.145,2441.270,3044.954,1484.321,2499.692,1437.463,2829.321,1549.281,1440.524,2113.313,1192.597,2685.544,1736.901,1380.415,1009.689,1726.874,1841.304,1688.978,926.164,751.417,1242.324,1170.805,1643.256,779.506,1395.087,779.293,1227.201,889.458,791.756,366.912,1522.736,871.901,1336.318,1612.380,587.782,830.631,1415.531,951.284,914.563,763.004,931.975,437.714,1365.904,1551.105,1585.945,188.980,1008.667,534.597,1182.206,1034.347,695.854,867.346,1127.817,1230.680,1127.126,1380.117,984.727,1129.260,1172.788,529.594,823.931,726.499,1268.254,1202.141,672.570,1168.660,771.760,981.742,726.303,770.925,491.301,574.977,780.124,748.348,967.138,1481.035,964.515,547.197,919.407,921.026,1169.490,908.272,1150.244,1302.474,1353.842,1089.856,1278.250,703.234,1481.862,1399.034,1006.756,1213.724,967.902,1176.719,1191.611,1104.725,902.084,1184.597,968.919,858.148,628.947,1187.357,1658.900,1705.289,778.861,928.273,580.489,380.606,264.864,826.008,326.682,679.345,392.373,0.000,697.095,981.260,713.594,331.601,530.062,120.548,0.000,107.049,330.850,300.109,286.588,843.048,569.211,160.943,0.000,0.000,0.000,257.702,684.742,103.969,514.204,63.800,253.324,235.055,115.912,440.807,860.101,360.474,0.000,57.381,0.000,0.000,0.000,0.000,0.000,481.666,673.991,538.849,794.196,0.000,55.163,227.423,913.975,511.620,349.745,1163.749,488.934,197.211,786.677,320.076,394.257,714.160,617.452,362.756,471.789,578.331,269.082,215.030,800.193,834.177,552.073,871.387,806.836,2154.915,1602.031,1015.587,489.732,262.455,209.615,0.000,120.750,696.601,302.165,177.608,75,4,50,1,Negative,2.000,0.300,0.00,10.06,9901.13,20.5,791.5,1.0,1.81,10.79,1000.0,42.750,115.750,61.183,21.097,2.808,1.82090e+3,ON,1,TRACER-CAT,,2022 07 02 09_51,,Detector aerosol flow rate error;Incomplete Scan
60,07/02/2022,10:18:31,22.2,101.0,60.8,6.72681e-8,1.82863e-5,,10186.776,4965.524,4194.137,5430.434,5662.610,8621.029,5976.912,4992.309,5726.928,4709.237,3730.578,4573.375,4642.285,5454.810,2323.253,4715.313,2951.291,2765.610,2365.884,2920.977,1787.961,3911.124,3455.147,4190.354,2888.155,894.272,1474.323,2227.568,3138.583,3880.100,2864.459,2063.816,1417.407,1372.908,947.978,1138.852,2315.952,3260.209,1892.339,2708.437,1224.931,1483.658,719.096,3190.704,2328.457,1486.884,2079.066,1897.583,1241.777,1777.905,1108.601,1621.770,1374.619,2292.790,2028.424,1624.944,1498.820,1278.123,629.484,1720.680,2132.165,1427.284,2583.850,1407.493,1032.871,1021.917,1210.771,1064.380,2177.754,1268.871,1640.145,963.127,1072.713,1713.497,1537.157,1323.475,1601.537,1427.187,1576.208,1546.395,2114.791,1446.846,1188.517,761.155,1161.085,1221.030,1117.185,521.098,1015.559,728.788,954.142,652.831,1167.883,1010.091,1403.161,1490.725,1068.289,1549.022,1730.213,1401.939,897.212,843.139,894.846,1601.310,1038.464,1276.996,1154.928,597.261,553.635,833.355,869.848,1113.931,570.236,703.113,820.048,700.230,1087.391,641.213,955.070,355.160,633.839,555.126,630.818,1073.906,1050.942,607.889,405.556,127.071,388.588,73.520,0.000,605.109,689.942,332.707,311.722,131.196,0.000,0.000,308.735,94.862,150.638,191.515,618.302,41.186,338.107,0.000,78.167,76.292,40.243,208.310,28.638,81.713,66.943,46.030,11.535,0.000,0.000,0.000,204.678,19.597,239.990,366.691,21.112,439.108,401.005,544.906,140.482,421.479,392.685,0.000,0.000,360.617,416.926,399.119,1414.458,771.456,394.370,198.856,401.117,633.122,279.526,617.370,778.144,210.170,897.288,852.405,1109.300,833.051,656.507,552.000,222.765,337.167,566.973,971.475,520.539,465.927,705.196,496.047,423.441,544.680,789.938,526.405,620.071,75,4,50,1,Negative,2.000,0.300,0.00,10.06,9901.13,20.5,791.5,1.0,1.81,10.79,1000.0,40.714,98.873,54.908,20.721,2.563,2.19098e+3,ON,1,TRACER-CAT,,2022 07 02 09_51,,Detector aerosol flow rate error;Incomplete Scan
61,07/02/2022,10:20:02,22.3,100.9,60.8,6.73638e-8,1.82911e-5,,10218.541,10085.723,5968.336,4767.359,7019.850,3678.610,6771.025,7332.970,4862.356,3381.603,4963.063,5469.439,2925.684,5908.490,5484.837,6156.310,2861.389,3018.908,3311.491,3497.429,3346.083,3844.137,2057.219,2684.677,1110.251,1059.670,1983.414,1065.589,1311.426,1897.244,1546.143,1540.246,1583.852,326.508,1836.895,1020.760,1630.157,2311.492,1065.463,2442.905,1422.952,1005.402,1081.090,1560.188,1086.156,1748.596,1574.170,1165.957,1293.445,977.167,924.796,1428.265,946.621,1423.662,961.316,953.855,1213.317,1045.928,968.737,1276.955,1080.350,1427.589,1271.683,1059.518,1667.068,2759.457,1599.649,2036.411,1347.735,754.258,577.754,1640.545,2275.505,2752.833,1094.707,1498.366,1576.750,509.881,1110.543,1273.309,1612.937,1601.021,1506.838,1163.384,262.900,1163.430,1195.807,516.503,1154.833,1210.317,974.955,1649.807,1414.874,1157.549,1524.515,1863.499,1074.501,1344.228,1782.725,1444.293,1214.207,1533.591,1496.173,575.951,1260.263,2193.681,1918.784,1933.745,1759.909,1283.136,1785.146,1152.478,676.620,766.736,1310.958,992.011,652.340,764.235,764.889,1611.136,1472.543,937.922,1252.269,743.409,752.166,749.252,509.884,618.417,845.779,549.370,1292.509,1284.868,447.726,650.980,795.714,239.950,316.994,685.513,494.600,662.253,98.914,610.731,323.574,0.000,0.000,27.998,0.000,85.293,711.087,362.041,953.430,525.962,0.000,173.131,419.939,0.000,0.000,122.866,0.000,455.523,222.980,92.421,0.000,257.400,0.000,0.000,0.000,0.000,0.000,0.000,83.044,538.339,906.684,638.661,494.595,479.164,591.664,397.790,300.891,202.318,445.914,558.815,851.252,314.436,894.937,1272.286,1280.004,853.830,860.730,767.087,222.813,224.821,793.923,457.742,692.803,815.547,895.351,423.054,902.266,1241.190,731.053,737.643,372.117,75,4,50,1,Negative,2.000,0.300,0.00,10.06,9901.13,20.5,791.5,1.0,1.81,10.79,1000.0,43.104,108.612,59.249,20.721,2.704,2.26541e+3,ON,1,TRACER-CAT,,2022 07 02 09_51,,Detector aerosol flow rate error;Incomplete Scan
62,07/02/2022,10:21:32,22.3,100.9,60.9,6.73638e-8,1.82911e-5,,11290.690,8978.468,11776.868,10567.030,9896.076,7588.759,8538.140,5155.069,4133.524,2709.690,5189.679,4149.452,5231.667,3076.358,4384.847,4923.857,4536.979,1821.455,3021.472,2193.787,4749.405,4686.428,3724.663,3883.087,2229.909,1833.460,2488.150,2189.380,2973.887,2659.371,1957.295,2354.056,3218.610,930.887,2303.329,1894.221,1907.889,1561.901,1697.760,1630.631,3077.496,2613.145,1359.865,1649.997,1724.015,1640.279,1833.890,1325.278,2450.762,1327.756,1500.993,2212.966,1705.097,2009.319,1385.407,1420.791,830.328,1314.954,1383.667,2662.942,1401.963,1365.927,1647.092,1932.760,1144.187,2612.488,2341.027,2269.335,1574.840,1595.581,1981.241,1426.556,2009.306,1824.033,768.421,941.600,1265.888,2069.073,1721.485,1785.661,1328.411,1450.528,904.099,1167.996,1101.145,1563.317,1860.754,938.217,912.598,1635.212,814.444,1659.915,1485.376,1249.817,1128.084,1308.680,653.863,812.437,1472.755,1707.825,922.781,693.895,1951.748,1514.259,1413.334,1969.093,1697.635,1544.315,1148.523,1158.270,1053.546,1134.131,760.755,625.465,1017.361,691.641,1159.838,912.459,1122.263,319.325,705.568,1249.689,208.157,403.313,246.916,1141.433,400.393,0.000,304.576,857.009,550.654,365.423,132.082,169.646,93.191,317.512,232.973,391.370,371.972,182.023,266.079,177.855,0.000,0.000,0.000,80.916,0.000,0.000,0.000,0.000,299.433,68.031,52.151,111.262,130.201,249.186,167.348,84.030,0.000,0.000,0.000,0.000,0.000,0.000,0.000,432.685,70.139,357.523,65.634,141.921,479.895,973.271,1206.718,542.457,484.892,724.594,1047.914,1090.388,1123.443,788.950,612.189,411.659,726.689,576.109,792.149,746.003,967.687,325.425,1209.637,2257.664,1838.511,2023.541,1829.042,1843.608,1288.821,1584.700,705.331,733.408,217.464,241.514,540.395,192.380,744.235,75,4,50,1,Negative,2.000,0.300,0.00,10.06,9901.13,20.5,791.5,1.0,1.81,10.79,1000.0,39.725,109.084,56.246,21.480,2.740,2.57079e+3,ON,1,TRACER-CAT,,2022 07 02 09_51,,Detector aerosol flow rate error;Incomplete Scan
63,07/02/2022,10:23:03,22.3,100.9,61.1,6.73638e-8,1.82911e-5,,5225.419,3981.332,2713.268,2428.712,3013.005,5514.602,3209.755,2567.167,3285.002,3736.852,3243.918,648.268,2936.271,1449.675,1256.826,978.438,2395.694,2546.155,2083.618,1591.022,3163.756,2465.756,1356.692,1591.847,1563.723,930.025,560.596,1598.240,168.806,984.719,852.690,1694.126,1056.840,1911.119,527.481,2035.694,1311.577,812.685,1189.259,976.713,1017.383,820.806,1438.674,1304.068,323.042,1161.940,1380.823,1132.533,974.125,886.754,813.555,549.249,686.988,921.099,457.601,431.785,792.380,404.709,1372.869,529.762,1525.834,912.138,1029.335,1313.075,143.930,619.984,733.576,1209.682,749.072,1020.564,1011.438,1671.665,1154.194,1583.669,1999.623,1736.236,906.661,1237.729,927.335,466.429,1361.538,1905.882,1236.460,1492.094,1316.341,1405.561,1497.868,1265.314,938.550,911.899,1257.857,1485.087,1451.295,947.131,1657.368,1580.279,1587.275,1652.647,703.498,1508.175,1213.950,1465.544,1317.185,1594.570,1769.667,1300.764,1383.619,1138.987,889.975,78.891,739.520,708.721,1255.661,907.049,680.694,601.465,578.886,1082.829,1170.161,901.551,1218.685,484.690,903.070,661.379,1338.735,1086.244,796.369,519.167,277.007,179.750,276.279,1096.697,631.711,573.099,1068.499,1517.787,1177.754,440.682,766.591,1392.635,727.146,363.930,0.000,83.521,592.758,341.330,32.994,256.260,344.045,439.653,340.750,8.744,16.561,0.000,614.903,665.593,571.201,598.737,391.287,749.729,546.609,361.160,135.264,87.960,235.310,357.268,189.451,0.000,531.084,344.149,563.711,1588.635,606.723,422.283,606.060,431.183,551.313,795.589,210.672,293.316,891.832,644.167,674.088,681.380,316.910,319.713,322.564,216.950,328.317,312.790,130.045,224.821,113.418,343.306,115.464,349.513,117.555,237.229,325.740,637.388,243.686,368.821,1439.784,75,4,50,1,Negative,2.000,0.300,0.00,10.06,9901.13,20.5,791.5,1.0,1.81,10.79,1000.0,68.614,125.297,73.016,22.671,2.708,1.64540e+3,ON,1,TRACER-CAT,,2022 07 02 09_51,,Detector aerosol flow rate error;Incomplete Scan
